extended_right_major,extended_right_major_description,extended_right_name,extended_right_name_description,object_guid
Attributes,Lists attributes and their guids,Domain-Component,The naming attribute for Domain and DNS objects. Usually displayed as dc=DomainName.,19195a55-6da0-11d0-afd3-00c04fd930c9
Attributes,Lists attributes and their guids,Domain-Cross-Ref,This is a reference from a trusted domain object to the cross reference object of the trusted domain.,b000ea7b-a086-11d0-afdd-00c04fd930c9
Attributes,Lists attributes and their guids,Domain-ID,Reference to a domain that is associated with a certification authority.,963d2734-48be-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,Domain-Identifier,Domain Sid that identifies the domain.,7f561278-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,Domain-Policy-Object,Reference to the policy object that defines the Local Security Authority policy for the host domain.,bf96795d-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Domain-Policy-Reference,The Distinguished Name of a domain policy object that a policy object copies from.,80a67e2a-9f22-11d0-afdd-00c04fd930c9
Attributes,Lists attributes and their guids,Domain-Replica,Unicode String Attribute; gives the list of WindowsÂ NTÂ 4.0 Replication Domain Controllers.,bf96795e-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Domain-Wide-Policy,This is for user extensible policy to be replicated to the clients.,80a67e29-9f22-11d0-afdd-00c04fd930c9
Attributes,Lists attributes and their guids,drink,The drink (Favorite Drink) attribute type specifies the favorite drink of an object (or person).,1a1aa5b5-262e-4df6-af04-2cf6b0d80048
Attributes,Lists attributes and their guids,Driver-Name,The device driver name.,281416c5-1968-11d0-a28f-00aa003049e2
Attributes,Lists attributes and their guids,Driver-Version,The Version number of device driver.,ba305f6e-47e3-11d0-a1a6-00c04fd930c9
Attributes,Lists attributes and their guids,DSA-Signature,The DSA-Signature of an object is the Invocation-ID of the last directory to modify the object.,167757bc-47f3-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,DS-Core-Propagation-Data,The DS-Core-Propagation-Data attribute is for internal use only.,d167aa4b-8b08-11d2-9939-0000f87a57d4
Attributes,Lists attributes and their guids,DS-Heuristics,Contains global settings for the entire forest.,f0f8ff86-1191-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,DS-UI-Admin-Maximum,This is the default maximum number of objects to be shown in a container by the admin UI.,ee8d0ae0-6f91-11d2-9905-0000f87a57d4
Attributes,Lists attributes and their guids,DS-UI-Admin-Notification,This is a list of the GUIDs of COM objects that support a callback interface that DSAdmin calls when an action has occurred on an object through the UI.,f6ea0a94-6f91-11d2-9905-0000f87a57d4
Attributes,Lists attributes and their guids,DS-UI-Shell-Maximum,This is the default maximum number of objects to be shown in a container by the shell UI.,fcca766a-6f91-11d2-9905-0000f87a57d4
Attributes,Lists attributes and their guids,Dynamic-LDAP-Server,DNS name of server handing dynamic properties for this account.,52458021-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,EFSPolicy,The Encrypting File System Policy.,8e4eb2ec-4712-11d0-a1a0-00c04fd930c9
Attributes,Lists attributes and their guids,E-mail-Addresses,The list of email addresses for a contact.,bf967961-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Employee-ID,The ID of an employee.,bf967962-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Employee-Number,The number assigned to an employee other than the ID.,a8df73ef-c5ea-11d1-bbcb-0080c76670c0
Attributes,Lists attributes and their guids,Employee-Type,The job category for an employee.,a8df73f0-c5ea-11d1-bbcb-0080c76670c0
Attributes,Lists attributes and their guids,Enabled,This attribute is used to signify whether a given crossRef is enabled.,a8df73f2-c5ea-11d1-bbcb-0080c76670c0
Attributes,Lists attributes and their guids,Enabled-Connection,Indicates whether a connection is available for use.,bf967963-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Enrollment-Providers,PKI - Certificate Templates.,2a39c5b3-8960-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Entry-TTL,"This operational attribute is maintained by the server and appears to be present in every dynamic entry.  The attribute is not present when the entry does not contain the dynamicObject object class. The value of this attribute is the time; in seconds; that the entry will continue to exist before disappearing from the directory.  In the absence of intervening ""refresh"" operations; the values returned by reading the attribute in two successive searches are guaranteed to be nonincreasing.  The smallest permissible value is 0; indicating that the entry may disappear without warning.  The attribute is marked NO-USER-MODIFICATION because it may only be changed by using the refresh operation.",d213decc-d81a-4384-aac2-dcfcfd631cf8
Attributes,Lists attributes and their guids,Extended-Attribute-Info,A multi-valued property that contains strings that represent additional information for each attribute.,9a7ad947-ca53-11d1-bbd0-0080c76670c0
Attributes,Lists attributes and their guids,Extended-Chars-Allowed,Indicates whether extended characters are allowed in the value of this attribute.  Only applies to IA5; Numeric; Printable; and Teletex string attributes.,bf967966-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Extended-Class-Info,A multi-valued property that contains strings that represent additional information for each class. Each value contains the governsID; lDAPDisplayName; and schemaIDGUID of the class.,9a7ad948-ca53-11d1-bbd0-0080c76670c0
Attributes,Lists attributes and their guids,Extension-Name,The name of a property page used to extend the UI of a directory object.,bf967972-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Extra-Columns,This is a multivalued attribute whose values consist of a 5 tuple: (attribute name); (column title); (default visibility (0;1)); (column width (â€“1 for auto width)); 0 (reserved for future use must be zero).  This value is used by the AD Users and Computers console.,d24e2846-1dd9-4bcf-99d7-a6227cc86da7
Attributes,Lists attributes and their guids,Facsimile-Telephone-Number,Contains telephone number of the user's business fax machine.,bf967974-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,File-Ext-Priority,This attribute contains a list of file name extensions in an application package and their associated priorities.,d9e18315-8939-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Flags,To be used by the object to store bit information.,bf967976-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Flat-Name,For WindowsÂ NT domains; the flat name is the NetBIOS name. For links with nonâ€“WindowsÂ NT domains; the flat name is the identifying name of that domain; or it is NULL.,b7b13117-b82e-11d0-afee-0000f80367c1
Attributes,Lists attributes and their guids,Force-Logoff,Used in computing the kick off time in SamIGetAccountRestrictions.  Logoff time minus Force Log off equals kick off time.,bf967977-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Foreign-Identifier,The security properties used by a foreign system.,3e97891e-8c01-11d0-afda-00c04fd930c9
Attributes,Lists attributes and their guids,Friendly-Names,List of default display name definitions supported by a catalog.,7bfdcb88-4807-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,From-Entry,This is a constructed attribute that is TRUE if the object is writable and FALSE if it is read-only; for example; a GC replica instance.,9a7ad949-ca53-11d1-bbd0-0080c76670c0
Attributes,Lists attributes and their guids,From-Server,The distinguished name of the replication source server.,bf967979-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Frs-Computer-Reference,Reference to a replica set member's computer object.,2a132578-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Frs-Computer-Reference-BL,Reference to replica sets to which this computer belongs.,2a132579-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Control-Data-Creation,Warning/Error level pair for file data creation (megabytes per second).,2a13257a-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Control-Inbound-Backlog,Warning/Error level pair for inbound backlog (number of files).,2a13257b-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Control-Outbound-Backlog,Warning/Error level pair for outbound backlog (number of files).,2a13257c-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Directory-Filter,The list of directories excluded from file replication; for example; temp; or obj.,1be8f171-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-DS-Poll,DS Polling interval for the File Replication engine.,1be8f177-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-Extensions,Binary data used by file replication.,52458020-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Fault-Condition,The Fault Condition for a Member.,1be8f178-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-File-Filter,A list of file name extensions excluded from file replication.,1be8f170-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-Flags,The FRS option flags.,2a13257d-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Level-Limit,Limit depth of directory tree to replicate for file replication.,5245801e-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Member-Reference,Reference to member object for this subscriber.,2a13257e-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Member-Reference-BL,Reference to subscriber objects for this member.,2a13257f-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Partner-Auth-Level,The RPC Security level.,2a132580-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Primary-Member,Reference to the primary member of a replica set.,2a132581-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Replica-Set-GUID,GUID that identifies an FRS Replica Set.,5245801a-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Replica-Set-Type,This is a code that indicates whether this is a sysvol replica set; a DFS replica set; or other replica set.,26d9736b-6070-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Root-Path,Path to root of replicated file system tree.,1be8f174-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-Root-Security,The security descriptor of replica set root for file replication.,5245801f-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Service-Command,A Unicode string that an admin can set to pass a command to every replica set member. Not used.,ddac0cee-af8f-11d0-afeb-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-Service-Command-Status,The response from the last command issued to a member.,2a132582-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Staging-Path,The path to the file replication staging area.,1be8f175-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-Time-Last-Command,The time in which the last command was executed.,2a132583-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Time-Last-Config-Change,The time in which the last configuration change was accepted.,2a132584-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Update-Timeout,The maximum time;  in minutes; to wait to complete an update before giving up.,1be8f172-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FRS-Version,The version number and build date.,2a132585-9373-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Version-GUID,If present; changing this value indicates a configuration change has been made on this replica set.,26d9736c-6070-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,FRS-Working-Path,The path to the file replication database.,1be8f173-a9ff-11d0-afe2-00c04fd930c9
Attributes,Lists attributes and their guids,FSMO-Role-Owner,Flexible Single-Master Operation: The distinguished name of the DC where the schema can be modified.,66171887-8f3c-11d0-afda-00c04fd930c9
Attributes,Lists attributes and their guids,Garbage-Coll-Period,This attribute is located on the CN=Directory Service;CN=Windows NT;CN=Services;CN=Configuration;... object.  It represents the time; in hours; between DS garbage collection runs.,5fd424a1-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,gecos,Contains the information that is stored in the GECOS field.,a3e03f1f-1d55-4253-a0af-30c2a784e46e
Attributes,Lists attributes and their guids,Generated-Connection,True if this connection was created by auto topology generation.,bf96797a-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Generation-Qualifier,Indicates a person generation. For example; Jr. or II.,16775804-47f3-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,gidNumber,Contains an integer value that uniquely identifies a group in an administrative domain.,c5b95f0c-ec9e-41c4-849c-b46597ed6696
Attributes,Lists attributes and their guids,Given-Name,Contains the given name (first name) of the user.,f0f8ff8e-1191-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Global-Address-List,This attribute is used on a Microsoft Exchange container to store the distinguished name of a newly created global address list (GAL). This attribute must have an entry before you can enable Messaging Application Programming Interface (MAPI) clients to use a GAL.,f754c748-06f4-11d2-aa53-00c04fd7d83a
Attributes,Lists attributes and their guids,Global-Address-List2,This attribute is used on a Microsoft Exchange container to store the distinguished name of a newly created global address list (GAL),4898f63d-4112-477c-8826-3ca00bd8277d
Attributes,Lists attributes and their guids,Governs-ID,The unique object ID of the class defined by this Class-Schema object.,bf96797d-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,GPC-File-Sys-Path,True if the object is enabled.,f30e3bc1-9ff0-11d1-b603-0000f80367c1
Attributes,Lists attributes and their guids,GPC-Functionality-Version,The version of the Group Policy Editor that created this object.,f30e3bc0-9ff0-11d1-b603-0000f80367c1
Attributes,Lists attributes and their guids,GPC-Machine-Extension-Names,Used by the Group Policy Object for computer policies.,32ff8ecc-783f-11d2-9916-0000f87a57d4
Attributes,Lists attributes and their guids,GPC-User-Extension-Names,Used by the Group Policy Object for user policies.,42a75fc6-783f-11d2-9916-0000f87a57d4
Attributes,Lists attributes and their guids,GPC-WQL-Filter,Used to store a string that contains a GUID for the filter and a WMI namespace path.,7bd4c7a6-1add-4436-8c04-3999a880154c
Attributes,Lists attributes and their guids,GP-Link,A sorted list of Group Policy options.  Each option is a DWORD.  Use of the UNICODE string is a convenience.,f30e3bbe-9ff0-11d1-b603-0000f80367c1
Attributes,Lists attributes and their guids,GP-Options,Options that affect all group policies associated with the object hosting this property.,f30e3bbf-9ff0-11d1-b603-0000f80367c1
Attributes,Lists attributes and their guids,Group-Attributes,The Group-Attributes attribute is not currently used.,bf96797e-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Group-Membership-SAM,WindowsÂ NT Security. Down level WindowsÂ NT support.,bf967980-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Group-Priority,The Group-Priority attribute is not currently used.,eea65905-8ac6-11d0-afda-00c04fd930c9
Attributes,Lists attributes and their guids,Groups-to-Ignore,The Groups-to-Ignore attribute is not currently used.,eea65904-8ac6-11d0-afda-00c04fd930c9
Attributes,Lists attributes and their guids,Group-Type,Contains a set of flags that define the type and scope of a group object.  For the possible values for this attribute; see Remarks.,9a9a021e-4a5b-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,Has-Master-NCs,The distinguished name for the naming contexts for the DC. Forward link for the Mastered-By attribute.,bf967982-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Has-Partial-Replica-NCs,Sibling to Has-Master-NCs. Has-Partial-Replica-NCs reflects the distinguished name for all other-domain NCs that have been replicated into a global catalog.,bf967981-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Help-Data16,This attribute was used for the Win16 help file format for Exchange 4.0. It is not used for any other versions of Exchange.,5fd424a7-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Help-Data32,This attribute was used for the Win32 help file format for Exchange 4.0. It is not used for any other versions of Exchange.,5fd424a8-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Help-File-Name,This attribute was used for Exchange 4.0. It contained the name that should be used for the file when the provider downloaded help data to a client computer. It is not used for any other versions of Exchange.,5fd424a9-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Hide-From-AB,Do not use this attribute.,ec05b750-a977-4efe-8e8d-ba6c1a6e33a8
Attributes,Lists attributes and their guids,Home-Directory,The home directory for the account. If homeDrive is set and specifies a drive letter; homeDirectory must be a UNC path. Otherwise; homeDirectory is a fully qualified local path including the drive letter (for example; DriveLetter:\Directory\Folder). This value can be a null string.,bf967985-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Home-Drive,Specifies the drive letter to which to map the UNC path specified by homeDirectory. The drive letter must be specified in the form DriveLetter: where DriveLetter is the letter of the drive to map. The DriveLetter must be a single; uppercase letter and the colon (:) is required.,bf967986-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,host,Specifies a host computer.,6043df71-fa48-46cf-ab7c-cbd54644b22d
Attributes,Lists attributes and their guids,houseIdentifier,Specifies a linguistic construct used to identify a particular building; for example; a house number or house name relative to a street; avenue; town; city; and so on.,a45398b7-c44a-4eb6-82d3-13c10946dbfe
Attributes,Lists attributes and their guids,Icon-Path,Source for loading an icon.,f0f8ff83-1191-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Implemented-Categories,This attribute contains a list of component category IDs that this object implements.,7d6c0e92-7e20-11d0-afd6-00c04fd930c9
Attributes,Lists attributes and their guids,IndexedScopes,List of directory scopes (for example; C:\ or D:\) that are indexed.,7bfdcb87-4807-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,Initial-Auth-Incoming,Contains information about an initial incoming authentication request by a client to this server. This request is then sent by this server to the authentication server for the domain.,52458023-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,Initial-Auth-Outgoing,Contains information about an initial outgoing authentication sent by the authentication server for this domain to the client that requested authentication. The server that uses this attribute receives the authorization from the authentication server and sends it to the client.,52458024-ca6a-11d0-afff-0000f80367c1
Attributes,Lists attributes and their guids,Initials,Contains the initials for parts of the user's full name. This may be used as the middle initial in the Windows Address Book.,f0f8ff90-1191-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Install-Ui-Level,This attribute contains information for the type (level) of installation that is used for the user interface. Possible installation levels are as follows:  2 INSTALLUILEVEL_NONE (silent installation) 3 INSTALLUILEVEL_BASIC (simple installation with error handling) 4 INSTALLUILEVEL_REDUCED (authored UI; wizard dialog boxes suppressed) 5 INSTALLUILEVEL_FULL (authored UI with wizards; progress; errors),96a7dd64-9118-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,0x00000001,A bitfield that dictates how the object is instantiated on a particular server. The value of this attribute can differ on different replicas even if the replicas are in sync.,0x00000008
Attributes,Lists attributes and their guids,International-ISDN-Number,Specifies an International ISDN Number associated with an object.,bf96798d-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Inter-Site-Topology-Failover,Indicates how much time must transpire since the last keep-alive for the inter-site topology generator to be considered dead.,b7c69e60-2cc7-11d2-854e-00a0c983f608
Attributes,Lists attributes and their guids,Inter-Site-Topology-Generator,This attribute will be used to support failover for the computer designated as the one that runs Knowledge Consistency Checker inter-site topology generation in a given site.,b7c69e5e-2cc7-11d2-854e-00a0c983f608
Attributes,Lists attributes and their guids,Inter-Site-Topology-Renew,This class indicates how often the intersite topology generator updates the keep-alive message that is sent to domain controllers contained in the same site.,b7c69e5f-2cc7-11d2-854e-00a0c983f608
Attributes,Lists attributes and their guids,Invocation-Id,Used to uniquely identify each Microsoft Exchange Server directory in the organization.,bf96798e-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,ipHostNumber,Contains the IP address of the host in dotted decimal notation; omitting the leading zeros.,de8bb721-85dc-4fde-b687-9657688e667e
Attributes,Lists attributes and their guids,ipNetmaskNumber,Contains the IP netmask in dotted decimal notation; omitting the leading zeros.,6ff64fcd-462e-4f62-b44a-9a5347659eb9
Attributes,Lists attributes and their guids,ipNetworkNumber,Contains an IP network number in dotted decimal notation; omitting the leading zeros.,4e3854f4-3087-42a4-a813-bb0c528958d3
Attributes,Lists attributes and their guids,ipProtocolNumber,Contains the section of the protocols map that stores the unique number that identifies the protocol.,ebf5c6eb-0e2d-4415-9670-1081993b4211
Attributes,Lists attributes and their guids,Ipsec-Data,The Ipsec-Data attribute is for internal use only.,b40ff81f-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-Data-Type,The Ipsec-Data-Type attribute is for internal use only.,b40ff81e-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-Filter-Reference,The Ipsec-Filter-Reference attribute is for internal use only.,b40ff823-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-ID,The Ipsec-ID attribute is for internal use only.,b40ff81d-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-ISAKMP-Reference,The Ipsec-ISAKMP-Reference attribute is for internal use only.,b40ff820-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-Name,The Ipsec-Name attribute is for internal use only.,b40ff81c-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,IPSEC-Negotiation-Policy-Action,The IPSEC-Negotiation-Policy-Action attribute is for internal use only.,07383075-91df-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-Negotiation-Policy-Reference,The Ipsec-Negotiation-Policy-Reference attribute is for internal use only.,b40ff822-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,IPSEC-Negotiation-Policy-Type,The Ipsec-Negotiation-Policy-Type attribute is for internal use only.,07383074-91df-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-NFA-Reference,The Ipsec-NFA-Reference attribute is for internal use only.,b40ff821-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-Owners-Reference,The Ipsec-Owners-Reference attribute is for internal use only.,b40ff824-427a-11d1-a9c2-0000f80367c1
Attributes,Lists attributes and their guids,Ipsec-Policy-Reference,The distinguished name of the related Internet Protocol security (IPsec) policy.,b7b13118-b82e-11d0-afee-0000f80367c1
Attributes,Lists attributes and their guids,ipServicePort,Contains the section of the services map that specifies the port on which the UNIX service is available.,ff2daebf-f463-495a-8405-3e483641eaa2
Attributes,Lists attributes and their guids,ipServiceProtocol,Contains the section of the services map that stores the protocol number for a UNIX service.,cd96ec0b-1ed6-43b4-b26b-f170b645883f
Attributes,Lists attributes and their guids,Is-Critical-System-Object,If TRUE;  the object hosting this attribute must be replicated during installation of a new replica.,00fbf30d-91fe-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Is-Defunct,If TRUE; the class or attribute is no longer usable. Old versions of this object may exist; but new ones cannot be created.,28630ebe-41d5-11d1-a9c1-0000f80367c1
Attributes,Lists attributes and their guids,Is-Deleted,If TRUE; this object has been marked for deletion and cannot be instantiated. After the tombstone period has expired; it will be removed from the system.,bf96798f-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Is-Ephemeral,The Is-Ephemeral attribute is not currently used.,f4c453f0-c5f1-11d1-bbcb-0080c76670c0
Attributes,Lists attributes and their guids,Is-Member-Of-DL,The distinguished name of the groups to which this object belongs.,bf967991-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Is-Member-Of-Partial-Attribute-Set,If TRUE; this attribute is replicated to the global catalog.,19405b9d-3cfa-11d1-a9c0-0000f80367c1
Attributes,Lists attributes and their guids,Is-Privilege-Holder,Backward link to privileges held by a given principal.,19405b9c-3cfa-11d1-a9c0-0000f80367c1
Attributes,Lists attributes and their guids,Is-Recycled,Is the object recycled. For use with AD Recycle Bin.,8fb59256-55f1-444b-aacb-f5b482fe3459
Attributes,Lists attributes and their guids,Is-Single-Valued,If TRUE; this attribute can only store one value.,bf967992-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,jpegPhoto,Used to store one or more images of a person using the JPEG File Interchange Format [JFIF].,bac80572-09c4-4fa9-9ae6-7628d7adbe0e
Attributes,Lists attributes and their guids,Keywords,A list of keywords that can be used to locate a given connection point.,bf967993-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Knowledge-Information,Specifies a human-readable accumulated description of knowledge mastered by a specific Directory System Agent.,1677581f-47f3-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,labeledURI,A Uniform Resource Identifier followed by a label. The label is used to describe the resource to which the URI points; and is intended as a display name that is human-readable.,c569bb46-c680-44bc-a273-e6c227d71b45
Attributes,Lists attributes and their guids,Last-Backup-Restoration-Time,When the last system restore occurred.,1fbb0be8-ba63-11d0-afef-0000f80367c1
Attributes,Lists attributes and their guids,Last-Content-Indexed,The time this volume was last content indexed.,bf967995-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Last-Known-Parent,The Distinguished Name (DN) of the last known parent of an orphaned object.,52ab8670-5709-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,Last-Logoff,This attribute is not used.,bf967996-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Last-Logon,The last time the user logged on. This value is stored as a large integer that represents the number of 100-nanosecond intervals since January 1; 1601 (UTC). A value of zero means that the last logon time is unknown.,bf967997-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Last-Logon-Timestamp,This is the time that the user last logged into the domain. This value is stored as a large integer that represents the number of 100-nanosecond intervals since January 1; 1601 (UTC). Whenever a user logs on; the value of this       attribute is read from the DC. If the value is older       [ current_time - msDS-LogonTimeSyncInterval ]; the value is updated. The       initial update after the raise of the domain functional level is calculated as 14 days minus random percentage of       5 days.,c0e20a04-0e5a-4ff3-9482-5efeaecd7060
Attributes,Lists attributes and their guids,Last-Set-Time,The last time the secret was changed. This value is stored as a large integer that represents the number of 100-nanosecond intervals since January 1; 1601 (UTC).,bf967998-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Last-Update-Sequence,This attribute contains the update sequence number for the last item in the class store that was changed.,7d6c0e9c-7e20-11d0-afd6-00c04fd930c9
Attributes,Lists attributes and their guids,LDAP-Admin-Limits,Contains a set of attribute-value pairs defining LDAP server administrative limits.,7359a352-90f7-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,LDAP-Display-Name,The name used by LDAP clients; such as the ADSI LDAP provider; to read and write the attribute by using the LDAP protocol.,bf96799a-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,LDAP-IPDeny-List,Holds a list of binary IP addresses that are denied access to an LDAP server.,7359a353-90f7-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Legacy-Exchange-DN,The distinguished name previously used by Exchange.,28630ebc-41d5-11d1-a9c1-0000f80367c1
Attributes,Lists attributes and their guids,Link-ID,An integer that indicates that the attribute is a linked attribute. An even integer is a forward link and an odd integer is a backward link.,bf96799b-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Link-Track-Secret,This attribute stores a link to a secret key that allows an encrypted file to be translated to plaintext.,2ae80fe2-47b4-11d0-a1a4-00c04fd930c9
Attributes,Lists attributes and their guids,Lm-Pwd-History,The password history of the user in LAN Manager (LM) one-way format (OWF). The LM OWF is used for compatibility with LAN Manager 2.x clients; WindowsÂ 95; and WindowsÂ 98.,bf96799d-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Locale-ID,This attribute contains a list of locale IDs supported by this application. A locale ID represents a geographic location; such as a country/region; city; county; and so on.,bf9679a1-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Locality-Name,Represents the name of a locality; such as a town or city.,bf9679a2-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Localization-Display-Id,Used to index into the file Extrts.mc to get the localized displayName for the objects for UI purposes.,a746f0d1-78d0-11d2-9916-0000f87a57d4
Attributes,Lists attributes and their guids,Localized-Description,The localization ID and Display Name for an object.,d9e18316-8939-11d1-aebc-0000f80367c1
Attributes,Lists attributes and their guids,Local-Policy-Flags,Flags that determine where a computer gets its policy. Local-Policy-Reference.,bf96799e-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Local-Policy-Reference,Distinguished Name of a local policy object that a policy object copies from.,80a67e4d-9f22-11d0-afdd-00c04fd930c9
Attributes,Lists attributes and their guids,Location,The user's location; such as office number.,09dcb79f-165f-11d0-a064-00aa006c33ed
